FID Name Type Covariate R2 pvalue
23416 "Cholesteryl Esters in VLDL" Metabolites spectrometer 0.00419 1e-253
23416 "Cholesteryl Esters in VLDL" Metabolites time_analysis 0.00028 1e-09
23416 "Cholesteryl Esters in VLDL" Metabolites time_day 0.00031 6e-21
23417 "Cholesteryl Esters in LDL" Metabolites PCs 0.00237 2e-126
23417 "Cholesteryl Esters in LDL" Metabolites age_recruitment 0.02483 0
23417 "Cholesteryl Esters in LDL" Metabolites assessment_centre 0.00356 2e-209
23417 "Cholesteryl Esters in LDL" Metabolites batch 0.00652 0
23417 "Cholesteryl Esters in LDL" Metabolites bmi 2e-04 2e-14
23417 "Cholesteryl Esters in LDL" Metabolites fasting 7e-04 1e-46
23417 "Cholesteryl Esters in LDL" Metabolites month_attending 0.00108 2e-61
23417 "Cholesteryl Esters in LDL" Metabolites sex 0.01873 0
23417 "Cholesteryl Esters in LDL" Metabolites smoking 3e-04 6e-20
23417 "Cholesteryl Esters in LDL" Metabolites spectrometer 0.02387 0
23417 "Cholesteryl Esters in LDL" Metabolites time_analysis 0.00938 0
23417 "Cholesteryl Esters in LDL" Metabolites time_day 0.00286 6e-185
23418 "Cholesteryl Esters in HDL" Metabolites PCs 0.00302 2e-93
23418 "Cholesteryl Esters in HDL" Metabolites age_recruitment 0.00161 1e-99
23418 "Cholesteryl Esters in HDL" Metabolites assessment_centre 0.00319 7e-246
23418 "Cholesteryl Esters in HDL" Metabolites batch 0.00403 0
23418 "Cholesteryl Esters in HDL" Metabolites bmi 0.08951 0
23418 "Cholesteryl Esters in HDL" Metabolites fasting 0.00017 1e-15
23418 "Cholesteryl Esters in HDL" Metabolites month_attending 0.00066 1e-47
23418 "Cholesteryl Esters in HDL" Metabolites sex 0.1785 0
23418 "Cholesteryl Esters in HDL" Metabolites smoking 0.0028 1e-232
23418 "Cholesteryl Esters in HDL" Metabolites spectrometer 0.01189 0
23418 "Cholesteryl Esters in HDL" Metabolites time_analysis 0.00436 0
23418 "Cholesteryl Esters in HDL" Metabolites time_day 0.00283 2e-237
23419 "Total Free Cholesterol" Metabolites PCs 0.00428 4e-245
23419 "Total Free Cholesterol" Metabolites age_recruitment 0.02454 0
23419 "Total Free Cholesterol" Metabolites assessment_centre 0.00408 2e-247
23419 "Total Free Cholesterol" Metabolites batch 0.00407 2e-253
23419 "Total Free Cholesterol" Metabolites bmi 0.00272 7e-180
23419 "Total Free Cholesterol" Metabolites fasting 0.00024 2e-17
23419 "Total Free Cholesterol" Metabolites month_attending 0.00131 1e-77
23419 "Total Free Cholesterol" Metabolites sex 0.0536 0
23419 "Total Free Cholesterol" Metabolites smoking 0.00042 4e-28
23419 "Total Free Cholesterol" Metabolites spectrometer 0.01488 0
23419 "Total Free Cholesterol" Metabolites time_analysis 0.00415 2e-253
23419 "Total Free Cholesterol" Metabolites time_day 6e-05 4e-05
23420 "Free Cholesterol in VLDL" Metabolites PCs 0.00672 0
23420 "Free Cholesterol in VLDL" Metabolites age_recruitment 0.02268 0
23420 "Free Cholesterol in VLDL" Metabolites assessment_centre 0.00472 2e-285
